"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,104,"ISL","Iceland",1,"Austurland",1,"Austur-Hérað","IS.AL.SM",NA,"7618","Sveitarfélög ","Municipality","",""
2,104,"ISL","Iceland",1,"Austurland",2,"Búðahreppur","IS.AL.SM",NA,"7611","Sveitarfélög ","Municipality","",""
3,104,"ISL","Iceland",1,"Austurland",3,"Borgarfjarðarhreppur","IS.AL.NM",NA,"7509","Sveitarfélög ","Municipality","",""
4,104,"ISL","Iceland",1,"Austurland",4,"Breiðdalshreppur","IS.AL.SM",NA,"7613","Sveitarfélög ","Municipality","",""
5,104,"ISL","Iceland",1,"Austurland",5,"Djúpavogshreppur","IS.AL.SM",NA,"7617","Sveitarfélög ","Municipality","",""
6,104,"ISL","Iceland",1,"Austurland",6,"Fáskrúðsfjarðarhr.","IS.AL.SM",NA,"7610","Sveitarfélög ","Municipality","",""
7,104,"ISL","Iceland",1,"Austurland",7,"Fellahreppur","IS.AL.NM",NA,"7506","Sveitarfélög ","Municipality","",""
8,104,"ISL","Iceland",1,"Austurland",8,"Fjarðabyggð","IS.AL.ES",NA,"7300","Sveitarfélög ","Municipality","",""
9,104,"ISL","Iceland",1,"Austurland",9,"Fljótsdalshreppur","IS.AL.NM",NA,"7505","Sveitarfélög ","Municipality","",""
10,104,"ISL","Iceland",1,"Austurland",10,"Mjóafjarðarhreppur","IS.AL.SM",NA,"7605","Sveitarfélög ","Municipality","",""
11,104,"ISL","Iceland",1,"Austurland",11,"Norður-Hérað","IS.AL.NM",NA,"7512","Sveitarfélög ","Municipality","",""
12,104,"ISL","Iceland",1,"Austurland",12,"Seyðisfjörður","IS.AL.SY",NA,"7000","Sveitarfélög ","Municipality","",""
13,104,"ISL","Iceland",1,"Austurland",13,"Skeggjastaðahreppur","IS.AL.NM",NA,"7501","Sveitarfélög ","Municipality","",""
14,104,"ISL","Iceland",1,"Austurland",14,"Stöðvarhreppur","IS.AL.SM",NA,"7612","Sveitarfélög ","Municipality","",""
15,104,"ISL","Iceland",1,"Austurland",15,"Sveitarfélagið Hornafjörður","IS.AL.AS",NA,"7708","Sveitarfélög ","Municipality","",""
16,104,"ISL","Iceland",1,"Austurland",16,"Vopnafjarðarhreppur","IS.AL.NM",NA,"7502","Sveitarfélög ","Municipality","",""
17,104,"ISL","Iceland",2,"Hálshreppur",17,"Öxarfjarðarhreppur","IS.NE.NT",NA,"6702","Sveitarfélög ","Municipality","",""
18,104,"ISL","Iceland",2,"Hálshreppur",18,"Öxnadalshreppur","",NA,"6508","Sveitarfélög ","Municipality","",""
19,104,"ISL","Iceland",2,"Hálshreppur",19,"Ólafsfjörður","IS.NE.OF",NA,"6200","Sveitarfélög ","Municipality","",""
20,104,"ISL","Iceland",2,"Hálshreppur",20,"Aðaldælahreppur","IS.NE.ST",NA,"6609","Sveitarfélög ","Municipality","",""
21,104,"ISL","Iceland",2,"Hálshreppur",21,"Akureyri","IS.NE.AY",NA,"6000","Sveitarfélög ","Municipality","",""
22,104,"ISL","Iceland",2,"Hálshreppur",22,"Arnarneshreppur","IS.NE.EY",NA,"6506","Sveitarfélög ","Municipality","",""
23,104,"ISL","Iceland",2,"Hálshreppur",23,"Þórshafnarhreppur","IS.NE.NT",NA,"6707","Sveitarfélög ","Municipality","",""
24,104,"ISL","Iceland",2,"Hálshreppur",24,"Bárðdælahreppur","",NA,"6606","Sveitarfélög ","Municipality","",""
